76,0.01,-0.02,-0.04
96678,7.84,-4.16,4.38,0.06,-0.04,0.01
96691,7.86,-4.12,4.25,0.03,-0.05,0.01
96704,7.87,-4.17,4.29,-0.00,-0.05,0.01
96717,7.86,-4.19,4.29,-0.00,-0.04,0.01
96730,7.87,-4.20,4.23,0.01,-0.04,0.01
96743,7.87,-4.22,4.28,0.03,-0.02,0.01
96756,7.84,-4.09,4.42,0.06,-0.02,0.01
96769,7.84,-4.07,4.41,0.05,-0.02,0.02
96782,7.88,-4.25,4.25,0.00,-0.03,0.02
96795,7.86,-4.28,4.32,-0.01,-0.02,0.01
96808,7.86,-4.35,4.38,-0.01,-0.02,0.00
96821,7.84,-4.12,4.40,0.01,-0.03,-0.01
96834,7.85,-4.05,4.36,-0.00,-0.04,-0.01
96847,7.86,-4.06,4.29,-0.02,-0.04,-0.00
96860,7.84,-4.03,4.40,0.00,-0.04,0.02
96873,7.86,-4.14,4.26,-0.02,-0.05,0.03
96886,7.87,-4.26,4.19,-0.03,-0.04,0.03
96899,7.86,-4.28,4.29,-0.02,-0.02,0.02
96912,7.82,-4.17,4.46,0.00,-0.02,0.02
96925,7.84,-4.21,4.38,-0.01,-0.03,0.02
96938,7.86,-4.26,4.27,-0.03,-0.03,0.01
96951,7.87,-4.31,4.24,-0.02,-0.03,0.01
96964,7.87,-4.32,4.28,0.00,-0.02,0.00
96977,7.85,-4.14,4.39,0.03,-0.02,-0.00
96990,7.86,-4.17,4.27,-0.01,-0.04,-0.00
97003,7.87,-4.20,4.23,-0.01,-0.03,-0.00
97016,7.88,-4.19,4.23,-0.00,-0.03,-0.00
97029,7.84,-4.13,4.37,0.02,-0.02,0.00
97042,7.81,-4.13,4.33,0.01,-0.03,0.01
97055,7.91,-4.12,4.30,-0.01,-0.03,0.01
97068,7.86,-4.25,4.24,-0.02,-0.03,0.01
97081,7.85,-4.33,4.33,-0.00,-0.03,0.01
97094,7.84,-4.22,4.39,0.02,-0.03,-0.00
97107,7.85,-4.00,4.38,-0.01,-0.04,0.01
97120,7.83,-4.16,4.29,-0.05,-0.05,0.02
97133,7.88,-4.28,4.13,-0.06,-0.04,0.02
97146,7.85,-4.25,4.40,0.02,-0.03,0.01
97159,7.85,-4.23,4.33,0.03,-0.03,0.01
97172,7.85,-4.23,4.26,0.02,-0.03,0.01
97185,7.86,-4.21,4.36,-0.01,-0.03,0.01
97198,7.86,-4.23,4.34,-0.01,-0.04,0.00
97211,7.86,-4.28,4.27,-0.01,-0.04,0.00
97224,7.84,-4.13,4.33,-0.01,-0.03,-0.00
97237,7.88,-4.24,4.20,-0.03,-0.03,-0.00
97250,7.87,-4.34,4.18,-0.01,-0.03,-0.00
97263,7.88,-4.34,4.17,0.02,-0.01,-0.01
97276,7.87,-4.38,4.22,0.07,0.00,-0.02
97289,7.88,-4.38,4.18,0.09,0.01,-0.03
97302,7.89,-4.54,4.03,0.12,0.02,-0.04
97315,7.92,-4.58,4.07,0.26,0.06,-0.07
97328,7.96,-4.49,4.35,0.32,0.08,-0.09
97341,8.13,-4.32,4.77,0.32,0.05,-0.11
97354,7.73,-3.81,4.76,0.03,-0.26,-0.07
97367,7.95,-4.15,3.62,-0.14,-0.34,-0.05
97380,7.62,-3.96,4.02,-0.09,-0.30,-0.00
97393,7.59,-4.33,3.75,-0.17,-0.46,0.15
97406,8.05,-4.88,3.85,-0.04,-0.52,0.23
97419,8.06,-4.77,2.96,-0.13,-0.47,0.17
97432,8.54,-5.02,2.65,-0.04,-0.47,0.15
97445,8.44,-5.08,2.65,-0.01,-0.32,0.05
97458,8.50,-5.31,3.20,0.08,-0.19,-0.05
97471,8.37,-4.33,3.77,0.26,-0.14,-0.16
97484,7.97,-4.49,3.72,0.18,-0.16,-0.15
97497,8.02,-4.10,4.09,0.21,-0.13,-0.22
97510,8.16,-4.04,3.14,0.24,-0.08,-0.22
97523,8.15,-3.79,4.39,0.43,-0.12,-0.12
97536,7.59,-3.26,4.50,0.31,-0.16,-0.11
97549,7.98,-4.03,4.20,0.30,-0.22,-0.02
97562,8.65,-3.81,4.27,0.00,-0.28,-0.05
97575,8.61,-4.39,3.14,-0.10,-0.30,-0.07
97588,7.74,-4.38,3.87,-0.00,-0.22,-0.11
97601,8.26,-4.28,2.70,0.03,-0.23,-0.14
97614,7.92,-4.25,3.92,0.20,-0.08,-0.15
97627,8.54,-4.07,3.63,0.25,-0.19,-0.09
97640,8.81,-4.52,3.74,0.31,-0.09,-0.18
97653,8.17,-3.91,3.74,0.27,-0.09,-0.29
97666,8.82,-4.33,3.62,0.24,-0.03,-0.37
97679,8.35,-3.57,3.66,0.24,-0.03,-0.38
97692,7.76,-3.25,3.97,0.30,0.01,-0.35
97705,8.09,-3.13,4.20,0.21,-0.09,-0.32
97718,8.49,-3.79,2.87,0.16,-0.13,-0.09
97731,8.20,-3.52,4.49,0.27,-0.00,-0.07
97744,8.01,-3.15,3.53,0.28,-0.09,-0.03
97757,7.89,-2.58,4.71,0.35,-0.04,-0.02
