897139,8.82,-2.87,3.40,0.23,0.07,-0.10
897152,9.23,-3.09,3.26,-0.04,-0.01,0.06
897165,9.14,-3.54,3.65,0.16,0.17,-0.00
897178,8.15,-2.83,4.23,0.18,0.25,-0.11
897191,9.00,-3.78,3.75,0.20,0.35,-0.25
897204,8.64,-3.49,4.63,0.28,0.43,-0.37
897217,8.45,-3.26,4.31,0.20,0.37,-0.43
897230,8.61,-2.74,4.22,0.30,0.27,-0.39
897243,8.10,-2.68,4.83,0.27,0.20,-0.38
897256,8.31,-3.11,4.07,0.09,0.15,-0.37
897269,8.58,-2.33,4.23,0.19,0.18,-0.36
897282,8.56,-3.01,3.31,0.11,0.24,-0.38
897295,8.44,-2.59,4.62,0.38,0.34,-0.37
897308,8.85,-3.49,3.07,0.21,0.40,-0.47
897321,7.09,0.29,6.22,0.50,0.31,-0.43
897334,9.90,-3.76,2.95,0.38,0.09,-0.24
897347,8.24,-2.32,6.15,0.29,0.26,-0.19
897360,8.81,-3.87,3.16,-0.19,-0.08,-0.01
897373,8.53,-1.92,5.40,0.10,0.16,-0.20
897386,9.01,-2.85,3.67,0.06,0.05,-0.23
897399,8.46,-3.35,3.75,0.16,0.19,-0.53
897412,8.02,-2.71,4.88,0.30,0.31,-0.62
897425,7.88,-0.54,5.79,0.43,0.26,-0.62
897438,8.70,-2.26,4.71,0.34,0.21,-0.45
897451,8.08,-1.35,4.95,0.19,0.23,-0.44
897464,8.87,-1.21,5.35,0.08,0.20,-0.41
897477,7.99,-1.77,4.36,0.04,0.05,-0.18
897490,8.96,-1.18,5.07,0.06,0.18,-0.19
897503,8.28,-1.86,5.28,0.01,0.09,-0.10
897516,8.76,-1.57,3.48,-0.02,0.06,-0.09
897529,8.69,-1.49,5.85,0.24,0.24,-0.07
897542,7.58,0.33,6.70,0.05,0.09,-0.04
897555,9.17,-1.74,4.30,-0.03,-0.18,0.08
897568,8.21,-1.91,5.22,-0.58,-0.17,0.29
897581,8.58,-2.02,4.29,-0.54,-0.29,0.34
897594,8.67,-2.72,4.20,-0.27,-0.25,0.35
897607,8.54,-2.97,3.95,-0.09,-0.19,0.34
897620,8.45,-2.21,4.92,-0.08,-0.14,0.30
897633,8.19,-2.94,4.16,-0.22,-0.21,0.35
897646,8.71,-3.15,4.31,-0.02,-0.04,0.17
897659,7.92,-2.58,5.14,0.02,-0.04,0.13
897672,8.97,-4.33,2.80,-0.05,-0.03,0.05
897685,8.56,-1.05,5.80,0.32,0.11,-0.18
897698,8.81,-2.81,3.52,0.18,-0.05,-0.08
897711,7.89,-1.58,6.22,0.30,0.04,-0.09
897724,8.84,-2.73,4.61,-0.15,-0.18,0.02
897737,8.35,-1.98,4.56,-0.09,-0.20,0.03
897750,8.91,-2.44,4.34,0.05,-0.16,0.01
897763,8.75,-1.59,5.15,0.17,-0.03,-0.01
897776,7.20,-0.68,5.36,0.12,-0.20,0.17
897789,8.75,-2.86,3.73,-0.02,-0.29,0.37
897802,8.43,-2.61,4.04,0.01,-0.24,0.33
897815,8.89,-3.42,3.50,-0.09,-0.12,0.16
897828,8.59,-2.50,5.16,0.21,0.08,-0.04
897841,8.78,-2.40,4.36,0.30,-0.02,-0.06
897854,7.96,-1.85,5.64,0.19,-0.09,-0.06
897867,8.03,-1.01,5.52,-0.02,-0.31,0.10
897880,8.57,-2.38,3.61,-0.28,-0.51,0.26
897893,8.57,-2.88,4.53,-0.20,-0.37,0.28
897906,8.45,-2.99,4.18,-0.12,-0.41,0.25
897919,8.72,-3.02,2.73,-0.07,-0.29,0.14
