,-2.27,4.24,0.01,0.11,-0.83
332324,9.01,-2.38,3.25,0.00,-0.02,0.02
332337,8.99,-2.45,3.23,0.00,-0.01,0.01
332350,8.98,-2.34,3.32,0.01,0.02,0.00
332363,8.96,-2.33,3.40,0.00,0.03,0.00
332376,8.95,-2.35,3.41,0.00,0.03,0.00
332389,8.94,-2.34,3.51,-0.01,0.03,0.01
332402,8.93,-2.31,3.51,-0.02,0.02,0.01
332415,8.95,-2.37,3.48,-0.03,0.01,0.01
332428,8.96,-2.45,3.45,-0.04,0.01,0.01
332441,8.97,-2.51,3.40,-0.05,0.01,-0.00
332454,8.97,-2.50,3.34,-0.06,0.02,-0.01
332467,8.97,-2.33,3.39,-0.06,0.03,-0.03
332480,8.94,-2.21,3.44,-0.04,0.04,-0.03
332493,8.95,-2.10,3.43,-0.05,0.04,-0.01
332506,8.91,-1.96,3.58,-0.06,0.04,0.00
332519,8.90,-1.97,3.57,-0.08,0.03,0.06
332532,8.87,-2.08,3.72,-0.09,0.02,0.09
332545,8.89,-1.98,3.59,-0.08,0.01,0.11
332558,8.86,-2.19,3.66,-0.11,-0.02,0.16
332571,8.88,-2.53,3.67,-0.15,-0.04,0.17
332584,8.89,-2.86,3.65,-0.21,-0.05,0.16
332597,8.89,-3.16,3.76,-0.23,-0.08,0.07
332610,8.85,-3.03,3.93,-0.20,-0.11,0.03
332623,8.82,-2.72,4.05,-0.15,-0.14,-0.00
332636,9.15,-2.42,3.80,-0.14,-0.24,-0.00
332649,9.71,-3.55,1.47,-0.25,-0.06,-0.23
332662,9.28,-1.95,3.87,-0.02,0.40,-0.58
332675,8.58,-1.59,4.31,0.43,0.69,-0.97
332688,9.39,-1.10,4.60,0.62,0.82,-1.19
332701,8.10,0.10,4.81,0.76,0.89,-1.23
332714,8.40,2.20,5.46,0.27,0.31,-0.80
332727,8.00,1.53,4.86,-0.18,0.04,-0.30
332740,8.39,0.11,5.53,-0.69,-0.10,0.08
332753,8.34,-0.99,4.76,-1.14,-0.54,0.62
332766,9.22,-2.45,4.64,-1.06,-0.54,0.64
332779,8.05,-1.24,6.22,-0.70,-0.71,0.74
332792,9.68,-4.58,0.89,-0.99,-0.86,0.77
332805,9.70,-5.41,4.00,-1.33,-0.29,0.21
332818,9.11,-4.20,3.49,-1.23,-0.21,-0.06
332831,8.14,-3.44,3.44,-0.38,-0.12,-0.29
