7,-1.81,1.76,-0.09,-0.10,0.27
352113,9.31,-2.34,2.06,-0.01,-0.04,-0.07
352126,9.32,-2.41,2.07,-0.01,-0.04,-0.06
352139,9.32,-2.46,2.09,-0.01,-0.04,-0.05
352152,9.32,-2.51,2.13,0.01,-0.05,-0.05
352165,9.32,-2.54,2.13,0.00,-0.05,-0.05
352178,9.32,-2.57,2.10,0.00,-0.06,-0.06
352191,9.32,-2.50,2.13,0.01,-0.08,-0.08
352204,9.33,-2.43,2.10,0.01,-0.09,-0.08
352217,9.34,-2.40,2.03,0.00,-0.09,-0.08
352230,9.38,-2.41,1.91,0.00,-0.09,-0.08
352243,9.38,-2.38,1.87,0.01,-0.08,-0.08
352256,9.37,-2.35,1.87,0.01,-0.07,-0.08
352269,9.39,-2.35,1.85,0.01,-0.06,-0.07
352282,9.38,-2.28,1.87,0.00,-0.04,-0.07
352295,9.38,-2.29,1.86,-0.00,-0.03,-0.06
352308,9.40,-2.39,1.80,0.00,-0.02,-0.06
352321,9.41,-2.41,1.79,0.08,0.01,-0.05
352334,9.38,-2.35,1.91,0.13,0.02,-0.05
352347,9.35,-2.16,2.03,0.15,0.03,-0.04
352360,9.27,-1.93,2.62,0.14,0.01,-0.01
352373,9.22,-1.76,2.72,0.10,-0.04,0.02
352386,9.22,-1.97,2.83,0.06,-0.10,0.05
352399,9.11,-1.91,3.40,-0.01,-0.24,0.12
352412,9.13,-1.90,3.30,-0.08,-0.34,0.14
352425,9.09,-2.18,3.47,-0.18,-0.45,0.16
352438,8.97,-2.96,3.81,-0.45,-0.72,0.12
352451,10.06,-3.35,2.75,-0.54,-0.88,0.06
352464,11.37,-3.00,-1.03,-0.72,-0.64,-0.28
352477,9.93,-2.78,0.87,-0.49,0.92,-1.03
352490,9.42,-2.26,5.14,0.37,1.31,-1.19
352503,7.91,-0.54,3.04,1.41,1.19,-1.12
352516,9.28,1.82,5.56,1.57,0.78,-1.16
352529,8.76,1.32,3.55,0.42,0.36,-0.72
352542,9.61,0.33,4.71,-0.55,0.15,-0.52
352555,9.22,-0.32,2.93,-1.36,-0.07,-0.24
352568,8.44,-0.59,2.58,-0.71,-0.09,-0.19
352581,9.92,-0.81,3.60,-0.41,-0.10,-0.06
352594,9.24,-1.29,2.78,-0.26,-0.17,0.02
352607,9.54,0.53,2.70,-0.78,-0.37,0.32
352620,9.14,-2.01,2.58,-1.17,-0.45,0.50
352633,10.65,-2.61,1.24,-1.12,-0.39,0.48
352646,9.61,-2.82,0.93,-0.86,-0.16,0.28
