,8.79,-5.13,3.20,0.17,0.05,0.08
112622,7.81,-5.42,2.56,0.05,-0.01,-0.02
112635,7.70,-5.43,2.67,0.09,-0.04,-0.00
112648,7.70,-5.16,2.70,0.12,-0.10,0.04
112661,8.05,-4.86,2.43,-0.02,-0.16,0.07
112674,8.25,-5.03,2.27,-0.09,-0.12,0.05
112687,8.15,-5.19,2.47,-0.12,-0.04,0.02
112700,7.98,-5.64,2.57,-0.02,-0.01,0.02
112713,7.88,-5.34,2.55,0.03,-0.02,-0.01
112726,7.86,-5.14,2.59,0.03,-0.02,-0.01
112739,7.89,-5.23,2.75,-0.00,-0.02,0.01
112752,7.94,-5.34,2.73,-0.05,-0.04,0.01
112765,7.94,-5.39,2.53,-0.07,-0.05,0.00
112778,7.95,-5.39,2.45,-0.06,-0.05,-0.00
112791,7.97,-5.45,2.44,0.01,-0.04,0.00
112804,7.95,-5.43,2.44,0.05,-0.03,-0.00
112817,7.94,-5.22,2.53,0.07,-0.03,-0.01
112830,7.92,-5.23,2.60,0.05,-0.02,-0.00
112843,7.94,-5.23,2.53,0.01,-0.03,-0.01
112856,7.96,-5.24,2.41,-0.02,-0.03,-0.00
112869,7.95,-5.27,2.48,0.02,-0.01,0.01
112882,7.89,-5.34,2.58,0.06,-0.00,0.02
112895,7.82,-5.38,2.68,0.07,-0.02,0.03
112908,7.77,-5.44,2.76,0.04,-0.11,0.05
112921,7.92,-5.41,2.50,0.04,-0.14,0.05
112934,7.88,-5.31,2.50,0.04,-0.13,0.05
112947,8.06,-5.26,2.44,0.11,-0.08,0.02
112960,8.10,-5.29,2.62,0.11,-0.05,0.01
112973,7.89,-5.02,2.74,0.10,-0.03,-0.01
112986,7.95,-5.30,2.63,-0.02,-0.06,0.01
112999,7.96,-5.33,2.48,-0.03,-0.07,0.01
113012,7.96,-5.55,2.43,-0.04,-0.06,0.00
113025,7.96,-5.55,2.44,0.05,-0.04,-0.03
113038,7.96,-5.53,2.51,0.06,-0.04,-0.05
113051,7.96,-5.50,2.51,0.06,-0.04,-0.06
113064,7.98,-5.28,2.41,0.11,-0.02,-0.09
113077,7.93,-5.11,2.59,0.17,-0.01,-0.08
113090,7.96,-4.94,2.56,0.23,-0.01,-0.05
113103,7.95,-5.01,2.66,0.20,-0.01,-0.02
113116,7.92,-5.09,2.84,0.06,-0.04,-0.01
113129,7.95,-5.24,2.68,-0.00,-0.06,-0.01
113142,7.94,-5.34,2.41,-0.02,-0.07,-0.01
113155,7.96,-5.33,2.59,0.08,-0.04,-0.00
113168,7.96,-5.28,2.52,0.10,-0.04,-0.00
113181,8.01,-5.08,2.48,0.11,-0.03,-0.00
113194,7.96,-5.13,2.68,0.06,-0.04,-0.00
113207,8.01,-5.11,2.51,-0.00,-0.05,-0.00
113220,7.99,-5.37,2.44,-0.04,-0.04,-0.00
113233,8.01,-5.26,2.45,0.03,-0.02,-0.01
113246,7.98,-5.36,2.47,0.05,-0.00,-0.01
113259,7.95,-5.23,2.55,0.08,0.01,-0.02
113272,7.91,-5.10,2.79,0.10,0.01,-0.01
113285,7.94,-5.25,2.80,0.06,-0.01,-0.01
113298,7.99,-5.24,2.66,0.02,-0.03,-0.01
113311,8.00,-5.25,2.63,-0.00,-0.03,-0.03
113324,8.00,-5.14,2.66,0.02,-0.03,-0.03
113337,7.97,-5.08,2.69,0.02,-0.03,-0.03
113350,8.00,-5.19,2.49,-0.07,-0.03,-0.03
113363,8.00,-5.29,2.46,-0.07,-0.03,-0.03
113376,8.00,-5.37,2.50,-0.02,-0.01,-0.02
113389,7.98,-5.27,2.54,0.04,0.01,-0.03
113402,8.00,-5.22,2.48,0.09,0.01,-0.03
113415,7.95,-5.09,2.76,0.09,0.02,-0.02
113428,7.97,-5.08,2.77,0.07,0.01,-0.02
113441,7.97,-5.14,2.77,-0.03,-0.01,-0.02
113454,7.97,-5.17,2.73,-0.07,-0.02,-0.03
113467,7.99,-5.18,2.66,-0.08,-0.03,-0.03
113480,8.00,-5.07,2.64,-0.04,-0.02,-0.02
113493,7.95,-5.04,2.82,-0.02,-0.02,-0.01
113506,7.93,-4.97,2.98,-0.02,-0.03,0.00
113519,7.92,-5.07,3.00,-0.09,-0.09,0.01
113532,7.93,-5.14,2.98,-0.17,-0.12,0.01
113545,7.92,-5.28,2.99,-0.27,-0.16,-0.01
113558,7.98,-5.08,2.75,-0.39,-0.21,-0.04
113571,7.95,-4.86,2.87,-0.36,-0.22,-0.03
113584,7.90,-4.66,3.12,-0.34,-0.25,0.00
113597,6.19,-4.21,4.87,-0.28,-0.04,-0.11
113610,7.57,-5.22,4.36,-0.47,-0.41,0.07
113623,7.93,-5.21,3.16,-0.76,-0.55,-0.01
113636,8.01,-6.02,2.57,-1.36,-0.74,-0.15
113649,8.01,-5.97,2.48,-1.61,-0.80,-0.21
113662,8.05,-5.69,2.23,-1.47,-0.83,-0.29
113675,8.16,-5.36,1.44,-1.39,-0.87,-0.36
113688,8.19,-5.48,1.46,-1.46,-0.88,-0.39
113701,8.23,-5.42,1.26,-1.46,-0.88,-0.42
113714,8.51,-5.29,0.22,-1.37,-0.87,-0.43
113727,8.26,-4.96,0.65,-0.76,-0.72,-0.40
113740,8.25,-4.77,1.02,-0.49,-0.69,-0.35
113753,8.27,-4.35,0.80,-0.36,-0.69,-0.31
113766,8.36,-3.77,0.20,-0.52,-0.72,-0.20
