,9.17,-1.74,3.03,-0.04,-0.05,0.07
750788,9.22,-2.26,2.80,-0.01,-0.04,0.02
750801,9.23,-2.29,2.77,-0.00,-0.03,0.01
750814,9.24,-2.33,2.76,0.00,-0.03,-0.00
750827,9.22,-2.26,2.78,0.01,-0.02,-0.02
750840,9.21,-1.98,2.89,0.03,-0.02,-0.03
750853,9.20,-1.86,2.91,0.02,-0.02,-0.02
750866,9.20,-1.84,2.89,0.01,-0.03,-0.00
750879,9.18,-2.01,2.90,-0.02,-0.04,0.03
750892,9.21,-2.12,2.84,-0.02,-0.04,0.04
750905,9.23,-2.27,2.81,-0.02,-0.04,0.04
750918,9.23,-2.36,2.78,-0.01,-0.04,0.02
750931,9.23,-2.34,2.76,-0.01,-0.03,0.00
750944,9.24,-2.30,2.75,0.01,-0.03,-0.01
750957,9.23,-2.15,2.82,0.02,-0.02,-0.03
750970,9.22,-2.08,2.85,0.02,-0.02,-0.03
750983,9.20,-1.97,2.89,0.02,-0.02,-0.03
750996,9.20,-1.86,2.90,0.01,-0.03,-0.00
751009,9.21,-1.89,2.85,-0.01,-0.03,0.01
751022,9.22,-2.06,2.79,-0.02,-0.04,0.03
751035,9.23,-2.36,2.81,-0.03,-0.03,0.03
751048,9.21,-2.32,2.83,0.01,-0.03,0.02
751061,9.21,-2.27,2.84,0.02,-0.03,0.01
751074,9.22,-2.13,2.85,0.02,-0.03,-0.00
751087,9.22,-2.09,2.82,-0.01,-0.03,-0.01
751100,9.21,-2.09,2.82,-0.01,-0.03,-0.01
751113,9.23,-2.07,2.83,0.00,-0.03,-0.00
751126,9.21,-2.12,2.86,0.01,-0.03,0.01
751139,9.21,-2.13,2.86,0.01,-0.03,0.01
751152,9.20,-2.15,2.85,0.01,-0.03,0.01
751165,9.22,-2.14,2.81,0.00,-0.03,0.01
751178,9.22,-2.24,2.80,0.00,-0.03,0.01
751191,9.22,-2.28,2.80,0.01,-0.03,0.00
751204,9.21,-2.16,2.81,0.02,-0.02,-0.01
751217,9.22,-2.12,2.82,0.02,-0.02,-0.01
751230,9.21,-2.05,2.85,0.01,-0.02,-0.01
751243,9.20,-2.03,2.90,0.00,-0.02,-0.00
751256,9.21,-2.10,2.89,-0.00,-0.02,0.00
751269,9.21,-2.09,2.87,0.00,-0.03,0.01
751282,9.21,-2.12,2.91,0.01,-0.03,0.01
751295,9.20,-2.07,2.90,0.01,-0.03,0.01
751308,9.21,-2.04,2.87,0.00,-0.04,0.02
751321,9.18,-1.94,2.97,-0.01,-0.05,0.03
751334,9.21,-2.13,2.87,-0.03,-0.06,0.04
751347,9.27,-2.52,2.68,-0.06,-0.06,0.04
751360,9.25,-2.42,2.67,-0.05,-0.05,0.01
751373,9.22,-2.18,2.83,0.06,-0.01,-0.03
751386,9.20,-2.04,2.89,0.07,-0.01,-0.03
751399,9.19,-1.89,2.91,0.03,-0.02,-0.03
751412,9.18,-1.92,2.89,-0.02,-0.03,0.00
751425,9.21,-2.09,2.85,-0.01,-0.03,0.02
751438,9.21,-2.16,2.85,0.01,-0.03,0.03
751451,9.19,-2.09,2.95,-0.01,-0.04,0.03
751464,9.20,-2.13,2.89,-0.03,-0.05,0.03
751477,9.23,-2.21,2.80,-0.05,-0.05,0.02
751490,9.25,-2.38,2.72,-0.04,-0.04,0.01
751503,9.23,-2.31,2.74,-0.00,-0.03,-0.01
751516,9.22,-2.17,2.76,0.03,-0.02,-0.01
751529,9.20,-2.04,2.86,0.03,-0.02,-0.01
751542,9.20,-2.04,2.85,0.01,-0.02,-0.00
751555,9.20,-2.11,2.86,-0.01,-0.02,0.00
751568,9.21,-2.15,2.84,0.00,-0.03,0.00
751581,9.21,-2.13,2.84,0.01,-0.03,0.00
751594,9.21,-2.09,2.86,0.02,-0.03,0.01
751607,9.20,-2.10,2.86,-0.01,-0.03,0.01
