0,-0.02,-0.03,0.02
92983,9.19,-2.51,2.54,-0.01,-0.04,0.02
92996,9.18,-2.49,2.55,0.00,-0.04,0.03
93009,9.19,-2.53,2.53,-0.01,-0.04,0.03
93022,9.18,-2.58,2.52,-0.02,-0.03,0.03
93035,9.18,-2.62,2.53,-0.01,-0.02,0.03
93048,9.18,-2.62,2.51,-0.01,-0.02,0.03
93061,9.17,-2.70,2.54,-0.01,-0.01,0.03
93074,9.18,-2.63,2.53,-0.01,-0.00,0.02
93087,9.16,-2.56,2.59,-0.00,0.00,0.02
93100,9.16,-2.50,2.60,-0.00,0.00,0.02
93113,9.17,-2.60,2.62,-0.01,0.00,0.03
93126,9.16,-2.65,2.64,-0.00,-0.00,0.03
93139,9.16,-2.64,2.64,0.01,-0.00,0.03
93152,9.15,-2.66,2.65,0.01,-0.01,0.03
93165,9.14,-2.62,2.67,0.00,-0.01,0.02
93178,9.17,-2.67,2.57,0.01,-0.01,0.02
93191,9.14,-2.59,2.66,0.01,-0.01,0.01
93204,9.14,-2.54,2.66,-0.00,-0.02,0.02
93217,9.15,-2.61,2.61,-0.01,-0.02,0.02
93230,9.14,-2.70,2.63,-0.01,-0.02,0.02
93243,9.15,-2.70,2.61,-0.00,-0.02,0.01
93256,9.14,-2.63,2.62,-0.00,-0.02,0.01
93269,9.17,-2.67,2.58,-0.01,-0.02,0.01
93282,9.16,-2.67,2.61,0.00,-0.02,0.01
93295,9.15,-2.65,2.67,0.01,-0.02,0.01
93308,9.14,-2.52,2.66,0.01,-0.02,0.01
93321,9.14,-2.58,2.65,-0.00,-0.02,0.01
93334,9.15,-2.67,2.62,-0.01,-0.03,0.01
93347,9.15,-2.71,2.61,-0.00,-0.03,0.01
93360,9.15,-2.70,2.62,0.02,-0.02,0.00
93373,9.15,-2.70,2.60,0.02,-0.02,-0.00
93386,9.15,-2.73,2.59,0.01,-0.02,-0.01
93399,9.16,-2.74,2.60,0.02,-0.01,-0.02
93412,9.15,-2.66,2.62,0.04,-0.01,-0.03
93425,9.14,-2.57,2.68,0.05,-0.01,-0.03
93438,9.14,-2.48,2.63,0.03,-0.01,-0.02
93451,9.15,-2.47,2.62,0.01,-0.01,-0.01
93464,9.13,-2.44,2.65,0.01,-0.01,0.00
93477,9.14,-2.49,2.65,0.01,-0.01,0.03
93490,9.14,-2.50,2.67,0.01,-0.01,0.04
93503,9.14,-2.60,2.67,0.00,-0.01,0.05
93516,9.13,-2.70,2.68,-0.00,-0.01,0.05
93529,9.14,-2.73,2.65,0.00,-0.01,0.04
93542,9.14,-2.77,2.66,0.01,-0.01,0.03
93555,9.13,-2.72,2.67,0.01,-0.01,0.02
93568,9.14,-2.71,2.68,0.02,-0.01,0.01
93581,9.12,-2.66,2.73,0.02,-0.01,0.01
93594,9.13,-2.65,2.70,0.01,-0.01,0.00
93607,9.13,-2.60,2.73,0.01,-0.01,0.01
93620,9.12,-2.59,2.71,0.01,-0.02,0.01
93633,9.12,-2.62,2.71,0.01,-0.02,0.01
93646,9.13,-2.64,2.69,0.01,-0.02,0.02
93659,9.13,-2.63,2.70,0.02,-0.03,0.02
93672,9.13,-2.67,2.67,0.01,-0.03,0.02
93685,9.13,-2.76,2.69,0.01,-0.03,0.01
93698,9.13,-2.69,2.68,0.01,-0.03,0.01
93711,9.12,-2.64,2.73,0.02,-0.02,0.01
93724,9.12,-2.56,2.72,0.01,-0.03,0.01
93737,9.12,-2.61,2.66,-0.01,-0.04,0.02
93750,9.12,-2.65,2.68,-0.01,-0.03,0.02
93763,9.13,-2.67,2.66,0.01,-0.03,0.02
93776,9.12,-2.68,2.66,0.01,-0.03,0.02
93789,9.13,-2.70,2.66,0.01,-0.03,0.02
93802,9.13,-2.73,2.72,0.02,-0.02,0.01
93815,9.12,-2.71,2.70,0.02,-0.02,0.01
93828,9.11,-2.65,2.75,0.02,-0.02,0.00
93841,9.11,-2.60,2.71,-0.00,-0.03,0.01
93854,9.11,-2.61,2.67,-0.01,-0.03,0.01
93867,9.13,-2.66,2.64,-0.01,-0.03,0.01
93880,9.13,-2.69,2.66,0.02,-0.02,0.02
93893,9.12,-2.70,2.69,0.02,-0.02,0.01
93906,9.13,-2.73,2.66,0.01,-0.02,0.01
93919,9.12,-2.77,2.65,0.01,-0.01,0.00
93932,9.13,-2.78,2.66,0.02,-0.01,-0.01
93945,9.12,-2.68,2.74,0.03,-0.01,-0.01
93958,9.10,-2.55,2.74,0.04,-0.01,-0.01
93971,9.10,-2.62,2.79,0.02,-0.02,-0.01
93984,9.11,-2.61,2.73,0.01,-0.02,-0.00
93997,9.11,-2.64,2.72,0.01,-0.03,-0.00
94010,9.11,-2.54,2.76,0.02,-0.03,0.01
94023,9.10,-2.49,2.75,0.01,-0.03,0.02
94036,9.11,-2.51,2.71,-0.01,-0.03,0.03
94049,9.13,-2.74,2.62,-0.03,-0.03,0.04
94062,9.11,-2.80,2.67,-0.01,-0.03,0.03
94075,9.12,-2.80,2.67,-0.00,-0.02,0.03
94088,9.10,-2.76,2.73,0.01,-0.02,0.01
94101,9.11,-2.77,2.73,0.00,-0.02,-0.00
94114,9.11,-2.74,2.73,0.01,-0.02,-0.01
94127,9.10,-2.66,2.76,0.01,-0.03,-0.01
94140,9.10,-2.59,2.77,0.01,-0.03,-0.01
94153,9.10,-2.60,2.75,0.01,-0.04,-0.01
94166,9.11,-2.65,2.73,0.02,-0.04,0.00
94179,9.11,-2.72,2.72,0.02,-0.04,0.00
94192,9.11,-2.80,2.72,0.03,-0.04,0.00
94205,9.11,-2.78,2.75,0.03,-0.05,-0.02
94218,9.11,-2.72,2.76,0.03,-0.05,-0.03
94231,9.11,-2.66,2.76,0.02,-0.05,-0.03
94244,9.12,-2.62,2.69,0.00,-0.06,-0.04
94257,9.13,-2.60,2.68,-0.00,-0.06,-0.03
94270,9.12,-2.56,2.67,0.00,-0.05,-0.03
94283,9.13,-2.50,2.63,0.00,-0.05,-0.02
94296,9.13,-2.50,2.65,-0.00,-0.04,-0.01
94309,9.13,-2.49,2.63,-0.00,-0.04,0.00
94322,9.14,-2.55,2.63,0.00,-0.04,0.02
94335,9.13,-2.64,2.67,0.01,-0.03,0.03
94348,9.13,-2.74,2.65,0.00,-0.03,0.03
94361,9.13,-2.78,2.65,-0.00,-0.03,0.02
94374,9.14,-2.79,2.63,0.01,-0.02,0.00
94387,9.13,-2.74,2.67,0.03,-0.01,-0.01
94400,9.12,-2.64,2.73,0.03,-0.01,-0.01
94413,9.12,-2.61,2.76,0.01,-0.02,-0.01
94426,9.11,-2.62,2.77,0.00,-0.02,-0.01
94439,9.11,-2.59,2.75,0.01,-0.03,-0.01
94452,9.12,-2.58,2.72,-0.00,-0.03,-0.00
94465,9.13,-2.63,2.70,-0.01,-0.04,0.00
94478,9.12,-2.66,2.73,-0.00,-0.04,0.01
94491,9.13,-2.70,2.67,0.00,-0.04,0.00
94504,9.13,-2.67,2.66,0.00,-0.04,-0.00
94517,9.13,-2.66,2.66,0.00,-0.04,-0.01
94530,9.12,-2.62,2.68,0.01,-0.03,-0.01
94543,9.13,-2.61,2.67,0.01,-0.03,-0.01
94556,9.13,-2.58,2.68,0.01,-0.03,-0.01
94569,9.13,-2.59,2.71,0.01,-0.03,-0.00
94582,9.12,-2.60,2.71,0.02,-0.03,0.01
94595,9.11,-2.58,2.74,0.02,-0.03,0.01
94608,9.11,-2.54,2.75,0.01,-0.03,0.02
94621,9.13,-2.68,2.70,-0.01,-0.04,0.02
94634,9.12,-2.72,2.68,-0.01,-0.04,0.02
